Experiment,Split,insect_0,insect_1,all_ap_0,all_ap_1
01_crop_10folds_yolov8s_640_16_300_8_03_auto_val,1,ST,OI,"[0.93370981278102, 0.93370981278102, 0.93370981278102, 0.903088775991744, 0.8663281042119678, 0.8458762488756941, 0.7344078317594696, 0.37910444488183637, 0.12841177141531945, 0.00845919027822194]","[0.8304681047510026, 0.8170951966526294, 0.7948973164437944, 0.7644454388165288, 0.7145917078981903, 0.612094080693356, 0.46599731520271526, 0.2879091291656187, 0.10442972860966064, 0.0]"
01_crop_10folds_yolov8s_640_16_300_8_03_auto_val,2,ST,OI,"[0.8771755498596285, 0.8524273632101173, 0.829949954483862, 0.8158503319848002, 0.7644031502901847, 0.6805585479375481, 0.5364743413859987, 0.3399385470330676, 0.10506456943999551, 0.012149342003423522]","[0.7518105617238234, 0.7357212611223354, 0.7357212611223354, 0.7208781038843591, 0.6925312076811135, 0.6212893167388132, 0.48375683866501645, 0.26664026412184305, 0.058380847723704866, 0.011587777777777775]"
01_crop_10folds_yolov8s_640_16_300_8_03_auto_val,3,ST,OI,"[0.8958192578967243, 0.8899666586639875, 0.88468226592105, 0.8719545789339249, 0.8091502960963777, 0.7285685638598307, 0.5988163997916749, 0.31147366736967524, 0.1041157164191875, 0.010633905920060333]","[0.9308198002772408, 0.928197619860152, 0.913978578269244, 0.8745909089339718, 0.8171913814370759, 0.7361900373108059, 0.5820108620436333, 0.39013885856281344, 0.1005752235877521, 0.007239777044810583]"
01_crop_10folds_yolov8s_640_16_300_8_03_auto_val,4,ST,OI,"[0.8932262319382226, 0.8822239733717475, 0.8628778395569945, 0.8327512083736308, 0.7939093705288643, 0.6802055514951202, 0.5497956045068608, 0.3402798923619232, 0.0992980783197021, 0.0]","[0.8682878076997368, 0.8682878076997368, 0.8444311772265032, 0.8402098238430445, 0.8226423976422369, 0.7473704060952264, 0.6391770684402919, 0.3250332798687342, 0.08262093673232787, 0.003975329840007364]"
01_crop_10folds_yolov8s_640_16_300_8_03_auto_val,5,ST,OI,"[0.844290474107672, 0.8387101863607489, 0.8387101863607489, 0.827054063761969, 0.8089653851657149, 0.6619080517325712, 0.5892704028039141, 0.27770102373490596, 0.1178957680667262, 0.010899516483516485]","[0.9347844845041188, 0.91521086463994, 0.8996395116628201, 0.8865019299906329, 0.8643162132737354, 0.7441959701235079, 0.5453827910332188, 0.2727922502225873, 0.07887000357032542, 0.013419175310360828]"
01_crop_10folds_yolov8s_640_16_300_8_03_auto_val,6,ST,OI,"[0.8128830067499024, 0.8128830067499024, 0.7869628059612007, 0.7697437294291682, 0.7445776458575171, 0.6248252248316454, 0.4577708586742635, 0.2463688740500098, 0.05510551964852152, 0.003761349502487562]","[0.9015373293298259, 0.8946516402689788, 0.8822503252340937, 0.8286015207767484, 0.7761846072248823, 0.7033042075003186, 0.6282085368206922, 0.4084527380701331, 0.12633389701159708, 0.015162277743831144]"
01_crop_10folds_yolov8s_640_16_300_8_03_auto_val,7,ST,OI,"[0.8781477521556764, 0.8781477521556764, 0.8781477521556764, 0.8781477521556764, 0.8577240305214371, 0.8155249691460899, 0.6159054616893933, 0.3604200283267421, 0.08437029577416917, 0.010600922409115573]","[0.9499912431624858, 0.9365052940060882, 0.9283355946583247, 0.9283355946583247, 0.8721255756427214, 0.849511397236485, 0.687326916642323, 0.30553988125722714, 0.09793791789950133, 0.021591676711387016]"
01_crop_10folds_yolov8s_640_16_300_8_03_auto_val,8,ST,OI,"[0.877913480657343, 0.8689166610053372, 0.8437250935382778, 0.8107491604137783, 0.7710743798122325, 0.6636379304379249, 0.4886695204353314, 0.27923579934384074, 0.08376626461988304, 0.0]","[0.7692832732503891, 0.7692832732503891, 0.7543503187016449, 0.7346337271821533, 0.7045386155795199, 0.64606567606059, 0.5500882811362819, 0.25094361713141083, 0.07235523293025807, 0.0]"
01_crop_10folds_yolov8s_640_16_300_8_03_auto_val,9,ST,OI,"[0.904168261063401, 0.904168261063401, 0.904168261063401, 0.8817320879856189, 0.8583683928706987, 0.7823448945309207, 0.6269574106556003, 0.3203481144265087, 0.08416415460151108, 0.010387789601702644]","[0.9106447190531015, 0.8921018265320708, 0.8867459139893509, 0.8487366280092964, 0.7740335202710373, 0.68673817620681, 0.5540563392222111, 0.29975827037704944, 0.10712911944620097, 0.004222255656562458]"
01_crop_10folds_yolov8s_640_16_300_8_03_auto_val,10,ST,OI,"[0.8879575713201302, 0.8756555994537116, 0.8662663530803368, 0.8561835926436122, 0.8279918515364189, 0.7286457939721696, 0.5552243410639972, 0.2844122926450261, 0.08455036563860092, 0.009777165325860978]","[0.9146748488006153, 0.9087581629200708, 0.9087581629200708, 0.9023084036243412, 0.8787872675308169, 0.7296163768861521, 0.6341373899060987, 0.4274708213523748, 0.1522676175923847, 0.006998079710144927]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_val,1,ST,OI,"[0.9710853466591367, 0.9710853466591367, 0.9710853466591367, 0.9601013657859389, 0.9366986440058974, 0.8717841117794076, 0.7620583269415044, 0.5352735150008825, 0.19159161206309372, 0.012435074100211715]","[0.8701531177272148, 0.8501873524218253, 0.8471695339433392, 0.8231943255240093, 0.7847110518439186, 0.722588790195094, 0.5930626925304041, 0.4197682010985788, 0.16539390620330902, 0.02032865798424964]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_val,2,ST,OI,"[0.9269393972714233, 0.9269393972714233, 0.8941693818411534, 0.8739953755817609, 0.8474526921415823, 0.773009090085897, 0.6735815242359435, 0.48986869203144773, 0.15607668744393127, 0.019566923845920497]","[0.8402339677171528, 0.8228960773523764, 0.8228960773523764, 0.8037980301325619, 0.7134121965049179, 0.7134121965049179, 0.6288320277210391, 0.24613383244622586, 0.081081413519644, 0.0]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_val,3,ST,OI,"[0.9262143255676556, 0.9262143255676556, 0.9262143255676556, 0.9198264446012078, 0.8894588804004502, 0.8135495353489856, 0.682251100649697, 0.4881911036379442, 0.16896060669779384, 0.03270184150494264]","[0.9116783984679347, 0.9062765708126724, 0.8951310097702334, 0.8673438007189256, 0.8370862637792751, 0.7499270520546661, 0.6577472726793981, 0.4719041787506315, 0.24091269066621088, 0.029815109806930966]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_val,4,ST,OI,"[0.9218255256598021, 0.9173052047958659, 0.8928622306339675, 0.88198927849827, 0.8535693825253908, 0.7455136726091153, 0.622345953871996, 0.46913448557034754, 0.15801305674400223, 0.01659219178021959]","[0.9331263389598891, 0.9060399378329678, 0.9060399378329678, 0.8840203176131762, 0.8582447405284077, 0.8143822029976219, 0.7455857186696242, 0.3954286849697798, 0.10389241551297293, 0.004350233728874505]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_val,5,ST,OI,"[0.9020699934917566, 0.9020699934917566, 0.9020699934917566, 0.8947930335995776, 0.8887097246041349, 0.8275904358569676, 0.697723477730755, 0.43912806741315996, 0.1062188231516698, 0.015809875863300786]","[0.9510487387068263, 0.9429410208672356, 0.9303099135023628, 0.9180003796083303, 0.8904729813941056, 0.8187564170091913, 0.624572601378917, 0.39335935955456586, 0.13800434293364966, 0.007089837298163441]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_val,6,ST,OI,"[0.9212175081926829, 0.9177734957202457, 0.9177734957202457, 0.8995098213045744, 0.8571989347599416, 0.826868576422297, 0.6284811217637616, 0.4288570438177596, 0.15570504631750626, 0.014761124571669003]","[0.9392973042810037, 0.9247032637820942, 0.9182074145452988, 0.9050862065652109, 0.8868482998256815, 0.839504886139205, 0.7229947838775861, 0.5542613329084662, 0.19102356454137182, 0.020639689618532246]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_val,7,ST,OI,"[0.9349074381504229, 0.923797188137011, 0.923797188137011, 0.923797188137011, 0.9171616881409275, 0.854629774514314, 0.7440394296592738, 0.48745878779464363, 0.10191562559943737, 0.008004088934321495]","[0.9502159521562503, 0.9502159521562503, 0.9502159521562503, 0.9359348145274788, 0.9200492904870249, 0.8520397952732068, 0.7344798300514561, 0.4476099325232724, 0.26006928294956927, 0.010328569906223358]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_val,8,ST,OI,"[0.9437298775619082, 0.9349905818379053, 0.9248132582120399, 0.9116619887542632, 0.8927087028792484, 0.8675932670914734, 0.7057189165127391, 0.5026069177934981, 0.185690457915433, 0.019023097525568636]","[0.8477115505285034, 0.8179763046372552, 0.8179763046372552, 0.7963882361326559, 0.765139198394047, 0.7404181948759582, 0.6663928308750435, 0.45039926754221704, 0.11357535890871874, 0.023904509024074237]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_val,9,ST,OI,"[0.9821346469622331, 0.9821346469622331, 0.9821346469622331, 0.9726488934002255, 0.9526188998528624, 0.8791585742101902, 0.7859649635461229, 0.526112551887937, 0.1231239057239057, 0.004312949312949312]","[0.925198230153712, 0.9120298679588629, 0.8905613485648698, 0.864603936320936, 0.8325105373902019, 0.7866195092264796, 0.710442278697359, 0.472403720879007, 0.14815365775629452, 0.017436197298128293]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_val,10,ST,OI,"[0.9394332632000881, 0.9394332632000881, 0.9345237565473021, 0.9099212945860924, 0.8698604344828028, 0.8443947205230791, 0.7286384186547751, 0.47562871849162314, 0.17997966859770476, 0.018015133183574224]","[0.9398239665430329, 0.930816322469055, 0.9246210286856488, 0.9246210286856488, 0.8767133150065484, 0.8374244011318552, 0.6611133369899571, 0.5051521822190993, 0.13933344246311694, 0.0]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,1,ST,OI,"[0.8313027964594976, 0.825018308135259, 0.8190161446237134, 0.808904575404271, 0.7679671663210454, 0.7310847382633103, 0.656795776004229, 0.4314895684863112, 0.14579876685099274, 0.010034426839962042]","[0.6868086689496143, 0.6658143375957902, 0.6658143375957902, 0.6510924052486036, 0.6308100741478213, 0.5823116159334738, 0.5034434413402782, 0.34929979672793493, 0.17447387002068387, 0.018293205296648372]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,2,ST,OI,"[0.7362191790229815, 0.7126204566599005, 0.675572954444546, 0.6484347287773629, 0.6330311925687138, 0.5390125795754023, 0.3904892614285553, 0.20606990885293014, 0.06858575647138554, 0.008752717260586114]","[0.5617567355101817, 0.5617567355101817, 0.5369101735726755, 0.5235538202985017, 0.5031380398546302, 0.455429314668931, 0.39674708255207525, 0.1452374031007752, 0.060948345259391766, 0.0]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,3,ST,OI,"[0.8476989751477306, 0.8396284961656219, 0.8396284961656219, 0.8396284961656219, 0.8018112111542627, 0.7413661641859578, 0.5648517851623678, 0.3655038120192339, 0.14233290212872013, 0.013541671753481642]","[0.8243417314299841, 0.8243417314299841, 0.8109896488674291, 0.7809371750710703, 0.7650425851582945, 0.6926347332272461, 0.591752657681391, 0.3727089778276406, 0.1343472187279332, 0.016959177078845325]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,4,ST,OI,"[0.8397750755016189, 0.8340503901903291, 0.8194780272641631, 0.8111972010395225, 0.7725083274425649, 0.7446462336305489, 0.6355749671069756, 0.3270536500133047, 0.09856679251694596, 0.009176172300981458]","[0.7982918639119099, 0.7728939629282857, 0.7664816292912144, 0.7300132863537854, 0.6976520025381611, 0.5902675631246115, 0.5256012222905299, 0.41698851900803113, 0.09914471122417418, 0.009405115553631476]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,5,ST,OI,"[0.8188980578460853, 0.809732941431891, 0.809732941431891, 0.7777657751839135, 0.7698797423546113, 0.686695617607159, 0.5208237437621457, 0.32383339412756224, 0.15101107160702693, 0.00980661835748792]","[0.8576119676594246, 0.8533315306151765, 0.8475594063967102, 0.8284346567257048, 0.8149065183884112, 0.7612541860511786, 0.5720471125797926, 0.3906540618729847, 0.12613015549306172, 0.00869802159969817]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,6,ST,OI,"[0.8069835425371237, 0.8023399122187754, 0.7976466072890571, 0.7868398291674877, 0.7547720254088633, 0.662856762532728, 0.5294975503913999, 0.40272602961291293, 0.10926711462833943, 0.008253983531204623]","[0.7992411585293002, 0.788657348207803, 0.7735155721478266, 0.7700425852789164, 0.7440804354210431, 0.6882475592623589, 0.5946430855314827, 0.3176345766662624, 0.12768584760049395, 0.016037769443356942]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,7,ST,OI,"[0.8839638954082334, 0.8771274156848949, 0.8771274156848949, 0.8642279735606391, 0.857609365996281, 0.7961970547225444, 0.6066029496055688, 0.4898861409426278, 0.18714545393907217, 0.011309523809523808]","[0.9079829700025691, 0.9079829700025691, 0.9079829700025691, 0.8920924385775195, 0.8567126099119289, 0.7520664527144041, 0.5917464268201038, 0.32894621107851246, 0.17292607976529745, 0.026254166666666665]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,8,ST,OI,"[0.8386868419594664, 0.8189583513572986, 0.8053247970242718, 0.7839493068836263, 0.7257522526132046, 0.6462692271878085, 0.5148786057827467, 0.32287682861943817, 0.09953209108528545, 0.01934473932500248]","[0.7362303737782466, 0.7190095381850401, 0.6999786009326574, 0.6780559744439353, 0.6172394392038698, 0.5863181648693678, 0.49499762323733587, 0.29701578567278497, 0.0903524906171958, 0.0]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,9,ST,OI,"[0.8882426561293977, 0.8882426561293977, 0.8745460443164934, 0.8556072572471072, 0.8359298943595601, 0.7833957180318609, 0.5194888083037885, 0.301212872924851, 0.083665986652661, 0.00981337547408344]","[0.8027737196357125, 0.7597047198038083, 0.7417108220484832, 0.7288613356056712, 0.6967692432437598, 0.6518477202737958, 0.5133944783781184, 0.34216254541378166, 0.10873866894371068, 0.014805010792853639]"
01_crop_10folds_yolov8s_1280_16_300_8_03_auto_noaug_val,10,ST,OI,"[0.9035022687383911, 0.8943826182943552, 0.8673388512286702, 0.8476777524669523, 0.7521355926346215, 0.7154374161916897, 0.5418223722136991, 0.32963315622230904, 0.137980638150964, 0.023628544113069267]","[0.8719925078816562, 0.8719925078816562, 0.8666339254690526, 0.831291289155383, 0.7461310331012503, 0.6709394801865147, 0.5111687148539911, 0.33933525451720625, 0.10491312714640981, 0.005686728723404255]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,1,ST,OI,"[0.9573107655529057, 0.9573107655529057, 0.9573107655529057, 0.9371349432426131, 0.9322118021638595, 0.8709676965875894, 0.7639502126987554, 0.4853907615899937, 0.20882173140527222, 0.008879361914257228]","[0.8558223396898518, 0.8403610113851727, 0.8168442741652819, 0.8006969551474628, 0.7652871732432058, 0.7210290700719884, 0.6118178640241039, 0.4158877878263075, 0.1554122303162153, 0.011851472415465678]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,2,ST,OI,"[0.9108629597569973, 0.9082546548393043, 0.8813618131807858, 0.8703380848700446, 0.841465488401399, 0.7891197285175767, 0.6496495257159701, 0.47951998536977336, 0.2057634027605115, 0.029602821210564265]","[0.7532123704820318, 0.7532123704820318, 0.741148464448869, 0.6976812298703776, 0.6890046342623519, 0.6623716941341373, 0.551912943678667, 0.3618973106644837, 0.11852540540540539, 0.022384528301886794]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,3,ST,OI,"[0.9277129478605081, 0.9277129478605081, 0.9277129478605081, 0.9134764661489353, 0.8915464044478373, 0.8313190307696889, 0.7075113170602568, 0.5065433144179535, 0.14153521545657605, 0.019058903115663675]","[0.9251746943230751, 0.9169415583475167, 0.8968010616107485, 0.8743883838718575, 0.8433960049419316, 0.7914253546867672, 0.681000437615719, 0.4461438157987404, 0.21782777682912685, 0.022532075213675215]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,4,ST,OI,"[0.9166826692304988, 0.9015417957924731, 0.8933526715867344, 0.8693223973143501, 0.8441335158655475, 0.7529118456688946, 0.5878820201638766, 0.4185772878357822, 0.15489580137117165, 0.007874856870229006]","[0.9243359276465148, 0.916600609434651, 0.9026192893011474, 0.8894087233369863, 0.8556941360327698, 0.8128142698323536, 0.7528979798818127, 0.48349827555634756, 0.15792942195205, 0.009063503332367431]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,5,ST,OI,"[0.9434883880819849, 0.9364090848818387, 0.9267500889866894, 0.9176971083583431, 0.8712162681506738, 0.8161297355658176, 0.645337814712792, 0.3508229097862836, 0.12355617003102956, 0.007854399431414355]","[0.9664111378480903, 0.9630734093124157, 0.9490806320549737, 0.9368689966702368, 0.8981566321193706, 0.8198770319035391, 0.6837578039595573, 0.3917909106458745, 0.09287018810107732, 0.008545037822452434]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,6,ST,OI,"[0.9270385445960309, 0.9126594457363217, 0.8883123713224785, 0.8883123713224785, 0.8600475495388629, 0.7974990907870333, 0.6581098902144896, 0.41560630328510095, 0.15297836630196043, 0.010812220354087996]","[0.9279046939980757, 0.9275811371774163, 0.9169726935940553, 0.9169726935940553, 0.8824174266840595, 0.8150118671155934, 0.7423439503590915, 0.5565553664348557, 0.22499794495334385, 0.018054296767831594]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,7,ST,OI,"[0.9456112874642681, 0.9372909034592687, 0.9265306067601012, 0.9265306067601012, 0.9116755201590983, 0.8492438792433458, 0.6919081694664005, 0.4173549459002912, 0.1344595713820638, 0.02767171717171717]","[0.9696807966133821, 0.9677497814378401, 0.9483601683843519, 0.9483601683843519, 0.9182913760944917, 0.8277715942940471, 0.7006057753184445, 0.4774949655665966, 0.1746221338333891, 0.009231947895100068]"
02_bright_10folds_yolov8s_1280_16_300_8_03_auto_val,8,ST,OI,"[0.9213427718976428, 0.9213427718976428, 0.8993810411396714, 0.8911864873752574, 0.8583799492317896, 0.8100594328494485, 0.6323791071745059, 0.40297374897221305, 0.1349227198493854, 0.015924320045553955]","[0.8598532252440908, 0.8292250362521649, 0.8118980093336869, 0.784541693623368, 0.7487504853930441, 0.6959172957915611, 0.6013557333464088, 0.34083140220304214, 0.11586470589108905, 0.00911669408222216]"
